chainage_m,y_m,z_m,radial_distance_m,Vp_m_per_s,Vs_m_per_s,density_g_cm3,poisson_ratio,dynamic_E_index,low_velocity_anomaly_score_q,geological_zone_label
1017160.0,-5.0,5.0,7.0710678118654755,5233.4,2978.4,2.537,0.189,56.7,0.0,background
1017160.0,-5.0,6.0,7.810249675906654,5108.4,2912.9,2.59,0.188,55.3,0.0,background
1017160.0,-5.0,7.0,8.602325267042627,5202.1,2933.3,2.632,0.175,57.4,0.0,background
1017160.0,-5.0,8.0,9.433981132056603,5047.2,2944.9,2.608,0.178,56.2,0.0,background
1017160.0,-4.0,-9.0,9.848857801796104,5128.0,2921.9,2.573,0.18,55.3,0.0,background
1017160.0,-4.0,-8.0,8.94427190999916,5135.0,2884.0,2.612,0.186,55.2,0.0,background
1017160.0,-4.0,-7.0,8.06225774829855,5161.9,2961.3,2.606,0.189,57.4,0.0,background
1017160.0,-4.0,-6.0,7.211102550927978,5273.9,3027.5,2.54,0.218,58.4,0.0,background
1017160.0,-4.0,-5.0,6.4031242374328485,5146.7,2941.2,2.579,0.182,56.1,0.0,background
1017160.0,-4.0,-4.0,5.656854249492381,5125.9,2930.1,2.533,0.194,54.7,0.0,background
1017160.0,-4.0,-3.0,5.0,5066.8,2989.7,2.588,0.196,57.0,0.0,background
1017160.0,-4.0,-2.0,4.47213595499958,5046.9,2928.9,2.553,0.191,54.6,0.0,background
1017160.0,-4.0,-1.0,4.123105625617661,5173.7,3013.7,2.604,0.188,58.8,0.0,background
1017160.0,-4.0,0.0,4.0,5097.8,3020.1,2.504,0.19,56.2,0.0,background
1017160.0,-4.0,1.0,4.123105625617661,5043.7,2849.7,2.579,0.206,53.0,0.0,background
1017160.0,-4.0,2.0,4.47213595499958,5094.9,2968.5,2.596,0.202,56.9,0.0,background
1017160.0,-4.0,3.0,5.0,4943.9,2824.2,2.581,0.195,51.8,0.0,background
1017160.0,-4.0,4.0,5.656854249492381,5100.1,2890.0,2.567,0.193,54.2,0.0,background
1017160.0,-4.0,5.0,6.4031242374328485,5096.9,2894.2,2.526,0.174,53.4,0.0,background
1017160.0,-4.0,6.0,7.211102550927978,5255.6,2978.6,2.596,0.185,58.2,0.0,background
1017160.0,-4.0,7.0,8.06225774829855,5261.3,3028.1,2.571,0.182,59.0,0.0,background
1017160.0,-4.0,8.0,8.94427190999916,5013.0,2902.9,2.577,0.189,54.2,0.0,background
1017160.0,-4.0,9.0,9.848857801796104,4947.8,2757.5,2.541,0.166,49.3,0.0,background
1017160.0,-3.0,-9.0,9.486832980505138,5217.7,2971.7,2.581,0.18,57.4,0.0,background
1017160.0,-3.0,-8.0,8.54400374531753,5205.3,2980.3,2.647,0.177,59.1,0.0,background
1017160.0,-3.0,-7.0,7.615773105863909,5116.1,2948.6,2.552,0.194,55.5,0.0,background
1017160.0,-3.0,-6.0,6.708203932499369,5207.5,2984.1,2.581,0.196,57.7,0.0,background
1017160.0,-3.0,-5.0,5.830951894845301,5046.2,2895.8,2.561,0.192,53.9,0.0,background
1017160.0,-3.0,-4.0,5.0,5144.9,2951.6,2.56,0.181,56.0,0.0,background
1017160.0,-3.0,-3.0,4.242640687119285,5113.6,2924.8,2.537,0.187,54.6,0.0,background
1017160.0,-3.0,3.0,4.242640687119285,5162.6,2950.9,2.572,0.199,56.3,0.0,background
1017160.0,-3.0,4.0,5.0,5113.4,2910.1,2.548,0.191,54.4,0.0,background
1017160.0,-3.0,5.0,5.830951894845301,5034.4,2853.7,2.582,0.189,53.1,0.0,background
1017160.0,-3.0,6.0,6.708203932499369,5148.4,2897.5,2.558,0.177,54.5,0.0,background
1017160.0,-3.0,7.0,7.615773105863909,5176.3,2997.1,2.54,0.203,56.9,0.0,background
1017160.0,-3.0,8.0,8.54400374531753,5129.6,2936.6,2.555,0.205,55.4,0.0,background
1017160.0,-3.0,9.0,9.486832980505138,5268.5,2962.6,2.587,0.177,57.6,0.0,background
1017160.0,-2.0,-9.0,9.219544457292887,5224.6,2982.2,2.538,0.202,56.8,0.0,background
1017160.0,-2.0,-8.0,8.246211251235321,4918.3,2842.7,2.556,0.193,51.6,0.0,background
1017160.0,-2.0,-7.0,7.280109889280518,5194.2,2911.8,2.571,0.196,55.4,0.0,background
1017160.0,-2.0,-6.0,6.324555320336759,5022.7,2830.3,2.545,0.2,51.7,0.0,background
1017160.0,-2.0,-5.0,5.385164807134504,5169.5,2895.8,2.556,0.187,54.5,0.0,background
1017160.0,-2.0,-4.0,4.47213595499958,5183.1,2986.5,2.612,0.184,58.3,0.0,background
1017160.0,-2.0,4.0,4.47213595499958,5157.2,2899.8,2.612,0.205,55.7,0.0,background
1017160.0,-2.0,5.0,5.385164807134504,5048.6,2930.1,2.567,0.189,54.9,0.0,background
1017160.0,-2.0,6.0,6.324555320336759,5104.2,2872.5,2.565,0.171,53.7,0.0,background
1017160.0,-2.0,7.0,7.280109889280518,5077.3,2880.8,2.596,0.18,54.4,0.0,background
1017160.0,-2.0,8.0,8.246211251235321,5012.0,2896.3,2.594,0.179,54.4,0.0,background
1017160.0,-2.0,9.0,9.219544457292887,5139.2,2879.2,2.602,0.183,54.8,0.0,background
1017160.0,-1.0,-9.0,9.055385138137417,5257.1,2976.2,2.554,0.197,57.2,0.0,background
1017160.0,-1.0,-8.0,8.06225774829855,5103.6,2949.0,2.578,0.187,56.0,0.0,background
1017160.0,-1.0,-7.0,7.0710678118654755,5159.2,2960.6,2.578,0.199,56.7,0.0,background
1017160.0,-1.0,-6.0,6.082762530298219,5356.7,3077.6,2.622,0.185,62.3,0.0,background
1017160.0,-1.0,-5.0,5.0990195135927845,5047.3,2825.5,2.504,0.195,50.9,0.0,background
1017160.0,-1.0,-4.0,4.123105625617661,5222.1,3068.4,2.59,0.195,60.3,0.0,background
1017160.0,-1.0,4.0,4.123105625617661,5133.1,2938.1,2.568,0.188,55.7,0.0,background
1017160.0,-1.0,5.0,5.0990195135927845,5143.7,2972.2,2.578,0.189,56.9,0.0,background
1017160.0,-1.0,6.0,6.082762530298219,5195.7,2946.9,2.6,0.188,57.0,0.0,background
1017160.0,-1.0,7.0,7.0710678118654755,5024.8,2895.4,2.583,0.197,54.2,0.0,background
1017160.0,-1.0,8.0,8.06225774829855,5101.1,2937.5,2.545,0.191,55.0,0.0,background
1017160.0,-1.0,9.0,9.055385138137417,5016.4,2860.8,2.534,0.205,52.2,0.0,background
1017160.0,0.0,-10.0,10.0,5207.1,3066.1,2.559,0.194,59.4,0.0,background
1017160.0,0.0,-9.0,9.0,5118.7,2928.0,2.539,0.19,54.7,0.0,background
1017160.0,0.0,-8.0,8.0,5274.5,2980.1,2.583,0.215,58.1,0.0,background
1017160.0,0.0,-7.0,7.0,5035.7,2922.8,2.571,0.219,54.7,0.0,background
1017160.0,0.0,-6.0,6.0,5159.4,2892.8,2.598,0.187,55.3,0.0,background
1017160.0,0.0,-5.0,5.0,5202.1,2906.8,2.547,0.185,54.8,0.0,background
1017160.0,0.0,-4.0,4.0,5178.0,2981.4,2.635,0.189,58.7,0.0,background
1017160.0,0.0,4.0,4.0,5096.2,2951.5,2.567,0.209,55.8,0.0,background
1017160.0,0.0,5.0,5.0,4962.5,2806.5,2.513,0.175,50.1,0.0,background
1017160.0,0.0,6.0,6.0,4942.3,2834.3,2.547,0.196,51.4,0.0,background
1017160.0,0.0,7.0,7.0,5085.5,2888.8,2.579,0.191,54.3,0.0,background
1017160.0,0.0,8.0,8.0,5113.9,2989.1,2.582,0.193,57.2,0.0,background
1017160.0,0.0,9.0,9.0,5091.1,2957.7,2.535,0.203,55.2,0.0,background
1017160.0,0.0,10.0,10.0,5079.5,2839.2,2.544,0.19,52.2,0.0,background
1017160.0,1.0,-9.0,9.055385138137417,5207.2,3004.9,2.566,0.199,57.9,0.0,background
1017160.0,1.0,-8.0,8.06225774829855,4996.3,2904.7,2.548,0.184,53.5,0.0,background
1017160.0,1.0,-7.0,7.0710678118654755,4969.6,2841.7,2.528,0.186,51.3,0.0,background
1017160.0,1.0,-6.0,6.082762530298219,5131.1,2889.2,2.553,0.195,54.0,0.0,background
1017160.0,1.0,-5.0,5.0990195135927845,5027.5,2842.0,2.554,0.187,52.2,0.0,background
1017160.0,1.0,-4.0,4.123105625617661,5063.0,2912.5,2.586,0.183,55.0,0.0,background
1017160.0,1.0,4.0,4.123105625617661,5036.3,2843.4,2.487,0.196,50.9,0.0,background
1017160.0,1.0,5.0,5.0990195135927845,5125.8,2909.8,2.629,0.188,56.2,0.0,background
1017160.0,1.0,6.0,6.082762530298219,4928.0,2742.0,2.604,0.191,50.0,0.0,background
1017160.0,1.0,7.0,7.0710678118654755,5140.9,2964.4,2.569,0.194,56.5,0.0,background
1017160.0,1.0,8.0,8.06225774829855,5068.5,2927.3,2.525,0.185,54.1,0.0,background
1017160.0,1.0,9.0,9.055385138137417,5262.9,3036.1,2.595,0.194,59.8,0.0,background
1017160.0,2.0,-9.0,9.219544457292887,5234.5,2981.5,2.589,0.2,58.0,0.0,background
1017160.0,2.0,-8.0,8.246211251235321,4939.7,2824.7,2.567,0.195,51.5,0.0,background
1017160.0,2.0,-7.0,7.280109889280518,4983.4,2835.9,2.522,0.19,51.1,0.0,background
1017160.0,2.0,-6.0,6.324555320336759,5197.5,2937.4,2.548,0.179,55.6,0.0,background
1017160.0,2.0,-5.0,5.385164807134504,5256.2,2998.7,2.569,0.2,58.2,0.0,background
1017160.0,2.0,-4.0,4.47213595499958,5193.4,2972.0,2.564,0.198,56.9,0.0,background
1017160.0,2.0,4.0,4.47213595499958,5113.5,2934.0,2.528,0.206,54.6,0.0,background
1017160.0,2.0,5.0,5.385164807134504,5161.8,3010.0,2.555,0.19,57.5,0.0,background
1017160.0,2.0,6.0,6.324555320336759,4979.6,2750.1,2.563,0.196,49.6,0.0,background
1017160.0,2.0,7.0,7.280109889280518,5159.3,2944.8,2.56,0.187,55.9,0.0,background
1017160.0,2.0,8.0,8.246211251235321,5072.5,2855.8,2.59,0.19,53.6,0.0,background
1017160.0,2.0,9.0,9.219544457292887,4889.1,2755.2,2.572,0.196,49.5,0.0,background
1017160.0,3.0,-9.0,9.486832980505138,5189.2,2930.8,2.606,0.183,56.7,0.0,background
1017160.0,3.0,-8.0,8.54400374531753,5279.9,3039.1,2.625,0.175,60.7,0.0,background
1017160.0,3.0,-7.0,7.615773105863909,5098.3,2914.5,2.496,0.208,53.3,0.0,background
1017160.0,3.0,-6.0,6.708203932499369,5098.0,2878.9,2.527,0.17,53.0,0.0,background
1017160.0,3.0,-5.0,5.830951894845301,5155.1,2976.5,2.544,0.191,56.3,0.0,background
1017160.0,3.0,-4.0,5.0,5287.1,3049.0,2.581,0.183,60.0,0.0,background
1017160.0,3.0,-3.0,4.242640687119285,5151.7,2954.6,2.55,0.185,55.9,0.0,background
1017160.0,3.0,3.0,4.242640687119285,5030.2,2937.0,2.569,0.181,55.0,0.0,background
1017160.0,3.0,4.0,5.0,5211.5,2935.6,2.604,0.176,56.9,0.0,background
1017160.0,3.0,5.0,5.830951894845301,5230.9,2972.0,2.544,0.193,56.7,0.0,background
1017160.0,3.0,6.0,6.708203932499369,5340.4,3064.1,2.604,0.202,61.3,0.0,background
1017160.0,3.0,7.0,7.615773105863909,5283.3,2957.6,2.561,0.188,57.0,0.0,background
1017160.0,3.0,8.0,8.54400374531753,4900.6,2746.8,2.534,0.182,48.6,0.0,background
1017160.0,3.0,9.0,9.486832980505138,5215.9,2990.3,2.592,0.178,58.2,0.0,background
1017160.0,4.0,-9.0,9.848857801796104,5027.7,2841.2,2.547,0.191,52.0,0.0,background
1017160.0,4.0,-8.0,8.94427190999916,5140.5,2958.5,2.54,0.194,55.7,0.0,background
1017160.0,4.0,-7.0,8.06225774829855,4900.6,2816.9,2.63,0.176,52.3,0.0,background
1017160.0,4.0,-6.0,7.211102550927978,5063.7,2863.9,2.565,0.194,53.2,0.0,background
1017160.0,4.0,-5.0,6.4031242374328485,4941.7,2827.4,2.555,0.186,51.3,0.0,background
1017160.0,4.0,-4.0,5.656854249492381,5009.4,2877.9,2.585,0.182,53.7,0.0,background
1017160.0,4.0,-3.0,5.0,5151.4,2891.5,2.623,0.181,55.7,0.0,background
1017160.0,4.0,-2.0,4.47213595499958,5047.2,2888.0,2.599,0.191,54.5,0.0,background
1017160.0,4.0,-1.0,4.123105625617661,5059.4,2973.4,2.524,0.181,55.2,0.0,background
1017160.0,4.0,0.0,4.0,5295.6,3019.0,2.589,0.198,59.4,0.0,background
1017160.0,4.0,1.0,4.123105625617661,4939.1,2841.8,2.595,0.189,52.5,0.0,background
1017160.0,4.0,2.0,4.47213595499958,5020.3,2921.1,2.571,0.186,54.6,0.0,background
1017160.0,4.0,3.0,5.0,4962.6,2868.1,2.508,0.193,51.6,0.0,background
1017160.0,4.0,4.0,5.656854249492381,5002.6,2875.5,2.56,0.2,53.1,0.0,background
1017160.0,4.0,5.0,6.4031242374328485,5201.1,2919.7,2.568,0.181,55.6,0.0,background
1017160.0,4.0,6.0,7.211102550927978,4992.9,2830.8,2.558,0.19,51.8,0.0,background
1017160.0,4.0,7.0,8.06225774829855,5056.8,2902.1,2.556,0.181,54.0,0.0,background
1017160.0,4.0,8.0,8.94427190999916,5185.9,3001.3,2.546,0.196,57.3,0.0,background
1017160.0,4.0,9.0,9.848857801796104,5118.2,2928.5,2.592,0.209,55.9,0.0,background
1017160.0,5.0,-8.0,9.433981132056603,5160.7,2975.9,2.581,0.209,57.2,0.0,background
1017160.0,5.0,-7.0,8.602325267042627,5297.5,3071.3,2.569,0.203,60.4,0.0,background
1017160.0,5.0,-6.0,7.810249675906654,4863.9,2743.1,2.582,0.175,49.2,0.0,background
1017160.0,5.0,-5.0,7.0710678118654755,5061.6,2784.4,2.56,0.183,50.9,0.0,background
1017160.0,5.0,-4.0,6.4031242374328485,4984.6,2821.2,2.589,0.197,52.1,0.0,background
1017160.0,5.0,-3.0,5.830951894845301,5110.9,2966.9,2.523,0.198,55.3,0.0,background
1017160.0,5.0,-2.0,5.385164807134504,5027.7,2848.5,2.566,0.182,52.6,0.0,background
1017160.0,5.0,-1.0,5.0990195135927845,5038.6,2900.8,2.577,0.19,54.3,0.0,background
1017160.0,5.0,0.0,5.0,4930.5,2835.9,2.585,0.17,52.1,0.0,background
1017160.0,5.0,1.0,5.0990195135927845,5079.0,2874.2,2.53,0.171,52.9,0.0,background
1017160.0,5.0,2.0,5.385164807134504,5118.5,2916.5,2.595,0.21,55.6,0.0,background
1017160.0,5.0,3.0,5.830951894845301,5151.8,2839.7,2.552,0.189,52.7,0.0,background
1017160.0,5.0,4.0,6.4031242374328485,5026.8,2926.8,2.595,0.208,55.3,0.0,background
1017160.0,5.0,5.0,7.0710678118654755,5248.0,2983.2,2.531,0.192,56.8,0.0,background
1017160.0,5.0,6.0,7.810249675906654,5170.3,2952.6,2.559,0.187,56.1,0.0,background
1017160.0,5.0,7.0,8.602325267042627,4892.9,2765.9,2.584,0.183,50.0,0.0,background
1017160.0,5.0,8.0,9.433981132056603,5059.9,2919.5,2.558,0.188,54.5,0.0,background
1017160.0,6.0,-8.0,10.0,5232.4,3047.5,2.607,0.185,60.2,0.0,background
1017160.0,6.0,-7.0,9.219544457292887,5014.3,2836.4,2.584,0.191,52.6,0.0,background
1017160.0,6.0,-6.0,8.48528137423857,5082.4,2853.8,2.567,0.195,53.1,0.0,background
1017160.0,6.0,-5.0,7.810249675906654,5214.8,2998.7,2.571,0.178,57.9,0.0,background
1017160.0,6.0,-4.0,7.211102550927978,5071.9,2982.9,2.55,0.2,56.1,0.0,background
1017160.0,6.0,-3.0,6.708203932499369,5159.0,2984.7,2.567,0.212,57.1,0.0,background
1017160.0,6.0,-2.0,6.324555320336759,5233.4,3038.9,2.57,0.189,59.1,0.0,background
1017160.0,6.0,-1.0,6.082762530298219,5046.1,2842.0,2.553,0.19,52.3,0.0,background
1017160.0,6.0,0.0,6.0,5322.5,3047.4,2.542,0.173,59.3,0.0,background
1017160.0,6.0,1.0,6.082762530298219,5323.8,3016.4,2.555,0.191,58.8,0.0,background
1017160.0,6.0,2.0,6.324555320336759,5085.4,2892.3,2.524,0.184,53.3,0.0,background
1017160.0,6.0,3.0,6.708203932499369,5231.3,2981.7,2.543,0.204,57.0,0.0,background
1017160.0,6.0,4.0,7.211102550927978,5134.5,2938.3,2.53,0.176,54.9,0.0,background
1017160.0,6.0,5.0,7.810249675906654,5110.9,2930.3,2.559,0.187,55.2,0.0,background
1017160.0,6.0,6.0,8.48528137423857,5052.2,2925.8,2.552,0.205,54.5,0.0,background
1017160.0,6.0,7.0,9.219544457292887,5063.6,2916.2,2.533,0.191,53.9,0.0,background
1017160.0,6.0,8.0,10.0,4970.6,2821.7,2.578,0.163,51.8,0.0,background
1017160.0,7.0,-7.0,9.899494936611665,5200.7,3022.3,2.593,0.191,59.0,0.0,background
1017160.0,7.0,-6.0,9.219544457292887,5170.7,2947.1,2.578,0.197,56.4,0.0,background
1017160.0,7.0,-5.0,8.602325267042627,5007.1,2926.3,2.599,0.181,55.2,0.0,background
1017160.0,7.0,-4.0,8.06225774829855,5238.2,3009.3,2.587,0.188,58.8,0.0,background
1017160.0,7.0,-3.0,7.615773105863909,5122.9,2934.8,2.523,0.204,54.6,0.0,background
1017160.0,7.0,-2.0,7.280109889280518,5180.9,2992.7,2.669,0.193,59.7,0.0,background
1017160.0,7.0,-1.0,7.0710678118654755,5304.0,3017.5,2.57,0.186,59.0,0.0,background
1017160.0,7.0,0.0,7.0,4993.1,2818.8,2.603,0.211,52.4,0.0,background
1017160.0,7.0,1.0,7.0710678118654755,4884.3,2800.0,2.558,0.204,50.3,0.0,background
1017160.0,7.0,2.0,7.280109889280518,5137.9,2925.4,2.585,0.192,55.8,0.0,background
1017160.0,7.0,3.0,7.615773105863909,5214.9,2974.6,2.57,0.202,57.2,0.0,background
1017160.0,7.0,4.0,8.06225774829855,5049.1,2894.0,2.572,0.19,54.1,0.0,background
1017160.0,7.0,5.0,8.602325267042627,5157.1,2891.2,2.594,0.193,55.1,0.0,background
1017160.0,7.0,6.0,9.219544457292887,5074.5,2877.1,2.595,0.175,54.3,0.0,background
1017160.0,7.0,7.0,9.899494936611665,5094.9,2922.3,2.577,0.173,55.2,0.0,background
1017160.0,8.0,-6.0,10.0,4940.7,2808.7,2.548,0.179,50.7,0.0,background
1017160.0,8.0,-5.0,9.433981132056603,5131.4,2936.4,2.545,0.192,55.1,0.0,background
1017160.0,8.0,-4.0,8.94427190999916,5044.9,2896.4,2.629,0.18,55.3,0.0,background
1017160.0,8.0,-3.0,8.54400374531753,5130.0,2889.2,2.568,0.196,54.4,0.0,background
1017160.0,8.0,-2.0,8.246211251235321,5196.7,3015.0,2.621,0.194,59.4,0.0,background
1017160.0,8.0,-1.0,8.06225774829855,5118.7,2970.2,2.567,0.186,56.4,0.0,background
1017160.0,8.0,0.0,8.0,5052.3,2887.1,2.552,0.183,53.5,0.0,background
1017160.0,8.0,1.0,8.06225774829855,5125.6,2956.9,2.582,0.187,56.5,0.0,background
1017160.0,8.0,2.0,8.246211251235321,5067.0,2975.2,2.541,0.202,55.6,0.0,background
1017160.0,8.0,3.0,8.54400374531753,4986.8,2786.2,2.545,0.211,50.3,0.0,background
1017160.0,8.0,4.0,8.94427190999916,4981.3,2813.7,2.595,0.188,52.0,0.0,background
1017160.0,8.0,5.0,9.433981132056603,5084.4,2964.0,2.549,0.182,55.7,0.0,background
1017160.0,8.0,6.0,10.0,5158.9,2945.1,2.571,0.198,56.1,0.0,background
1017160.0,9.0,-4.0,9.848857801796104,5048.5,2891.1,2.533,0.183,53.2,0.0,background
1017160.0,9.0,-3.0,9.486832980505138,5103.2,2901.6,2.566,0.194,54.5,0.0,background
1017160.0,9.0,-2.0,9.219544457292887,5169.2,2927.9,2.555,0.192,55.4,0.0,background
1017160.0,9.0,-1.0,9.055385138137417,5127.1,2948.8,2.52,0.189,54.9,0.0,background
1017160.0,9.0,0.0,9.0,5177.3,2902.6,2.588,0.178,55.4,0.0,background
1017160.0,9.0,1.0,9.055385138137417,5151.1,2992.6,2.566,0.204,57.2,0.0,background
1017160.0,9.0,2.0,9.219544457292887,5203.8,3020.8,2.583,0.201,58.7,0.0,background
1017160.0,9.0,3.0,9.486832980505138,5081.1,2878.1,2.553,0.19,53.5,0.0,background
1017160.0,9.0,4.0,9.848857801796104,5167.8,2958.3,2.582,0.193,56.8,0.0,background
1017160.0,10.0,0.0,10.0,5040.1,2929.3,2.556,0.183,54.6,0.0,background
1017161.0,-10.0,0.0,10.0,5036.7,2820.4,2.514,0.181,50.9,0.0,background
1017161.0,-9.0,-4.0,9.848857801796104,5047.6,2872.3,2.54,0.199,52.8,0.0,background
